sku,name,description,description_long,brand,price,category,image_main,image_2,image_3,featured,complementary,slug,precio_anterior,stock,rating,num_resenas,specs
21029710,PISTOLA SATA 1500 HVLP 1.3,Pistola de pintura de gravedad con tecnología HVLP (Alto Volumen Baja Presión) para máxima eficiencia en la transferencia de material.,"Diseñada para la aplicación de bases color, barnices y esmaltes en el repintado automotriz. Su tecnología HVLP garantiza tasas de transferencia superiores al 65%, ahorrando material y cuidando el medio ambiente.
",SATA,12990,Productos EMASA,https://i.postimg.cc/BQwykFBz/pistola-sata.webp,,,TRUE,,,15990,3,4.5,12,"Tecnología: HVLP.
Tamaño de boquilla: 1.3 mm.
Presión de trabajo recomendada: 1.8 bar (26 psi).
Consumo de aire: Aprox. 350 Nl/min (12.4 cfm).
Distancia de aplicación: 10 - 15 cm."
2126567,SATA ECONOLINE 1.8 P/PRIMER,"Pistola de gravedad robusta y económica, diseñada específicamente para la aplicación de aparejos y primers (imprimaciones).",,SATA,,,,,,,,,,,,,
21061556,PISTOLA SATA X5500 RP 1.2,"Pistola de pintura premium de tecnología RP (Presión Reducida) con boquilla estándar 1.2, ideal para barnices de alta velocidad.",,SATA,,,,,,,,,,,,,
21061647,PISTOLA SATA X5500 RP 1.2 D,"Pistola premium RP 1.2 mm, equipada con manómetro digital integrado (D) para un control de presión absoluto.",,SATA,,,,,,,,,,,,,
21061697,PISTOLA SATA X5500 RP 1.3 D,Pistola premium RP con boquilla de 1.3 mm y manómetro digital integrado. Versatilidad pura para base color y barniz.,,SATA,,,,,,,,,,,,,
21062025,PISTOLA SATA X5500 HLVP 1.3,Pistola premium con tecnología HVLP y boquilla 1.3 mm para una máxima economía de material y precisión en bases color.,,SATA,,,,,,,,,,,,,
2134353,SATA MASCARA PINTURA S.CAJA,Semimáscara de protección respiratoria con filtros de carbón activado para protección contra vapores de pintura.,,SATA,,,,,,,,,,,,,
26EE-7501,CABINA PINTURA 7MTS,"Cabina de pintura y secado automotriz de flujo descendente, de 7 metros de longitud.",,BESTE,,,,,,,,,,,,,
26EE-IP3,LAMPARA SECADO IR-3 CASETTE,Lámpara de curado por infrarrojos de onda corta con 3 casetes (paneles) independientes.,,BESTE,,,,,,,,,,,,,
63420943,LAMPARA TRISK 1 DTL/220V,Lámpara infrarroja TRISK de un casete para curado ultra rápido en reparaciones puntuales.,,Hedson Techbologies,,,,,,,,,,,,,
26EE-IP2,LAMPARA SECADO IR-2 CASETTE,Lámpara infrarroja de onda corta de 2 casetes para el curado focalizado de reparaciones rápidas.,,BESTE,,,,,,,,,,,,,
5035657,SUNMATCH 4,Luz de trabajo LED recargable especializada para igualación de colores y detección de imperfecciones.,,Scangrip,,,,,,,,,,,,,
5035508,"LAMPARA UV-FORM, RECARGABLE",Lámpara de luz ultravioleta recargable para curado ultra rápido de masillas y primers UV.,,Scangrip,,,,,,,,,,,,,
5035602,"NOVA EX, LAMP. ANTIEXPLOS.",Foco de trabajo LED de alta potencia con certificación ATEX a prueba de explosiones.,,Scangrip,,,,,,,,,,,,,
5490217,COLORMATCH SET 4,El kit de iluminación definitivo en un maletín de transporte para pintores y detailers automotrices.,,Scangrip,,,,,,,,,,,,,
1630000528,ESTACION DE CARGA R134A,"Máquina automatizada para recuperación, vacío y recarga de sistemas de aire acondicionado automotriz (gas R134a).",,THINKCAR,,,,,,,,,,,,,
1630106004,SCANNER AUTOMOTRUZ EXPERT195,Escáner de diagnóstico automotriz multimarca avanzado para lectura y borrado de fallas en todos los sistemas.,,THINKCAR,,,,,,,,,,,,,
1630000595,EQUIPO DE PRUEBA Y LIMPIEZA,Banco de pruebas y tina de limpieza por ultrasonido para inyectores de gasolina.,,THINKCAR,,,,,,,,,,,,,
1630000692,EQUIPO DE PRUEBAS,Herramienta de comprobación y diagnóstico eléctrico para sistemas vehiculares.,,THINKCAR,,,,,,,,,,,,,
17EE-290DMC,RECOGEDOR Y ASPIRADOR 70LT,Unidad móvil para la extracción y recolección de aceite de motor por vacío o gravedad con tanque de 70 litros.,,BESTE,,,,,,,,,,,,,
17EE-290DC,RECOGEDOR Y ASPIRADOR 70LT,Unidad móvil para la extracción y recolección de aceite de motor por vacío o gravedad con tanque de 70 litros.,,BESTE,,,,,,,,,,,,,
17EE-290D,RECOGEDOR Y ASPIRADOR 70LT,Unidad móvil para la extracción y recolección de aceite de motor por vacío o gravedad con tanque de 70 litros.,,BESTE,,,,,,,,,,,,,
21GC-XT2A,GATO CENTRAL,Gato hidráulico neumático (o manual) tipo puente para instalación en elevadores de 4 columnas o de tijera.,,BESTE,,,,,,,,,,,,,
